Job Type,EX_level_demand,Industry,Technical_Tool,Competitive Level,Client_Country,Hourly_Rate
Web Scraping,Entry Level,Construction and Engineering,Octoparse,Competitive,Turkey,26.0
Application Development,Intermediate,Technology and SaaS,Balsamiq,Competitive,Italy,23.0
Web Scraping,Expert,E-Commerce,WebHarvy,Competitive,South Korea,23.0
Web Scraping,Intermediate,Non-Profit and NGOs,DataMiner,Competitive,India,16.0
Application Development,Expert,E-Commerce,Axure,Competitive,United Kingdom,33.0
Application Development,Expert,Energy and Utilities,Axure,Extremely Competitive,Sweden,29.0
Web Scraping,Expert,Professional Services,OutWit Hub,Competitive,India,16.0
Application Development,Entry Level,Construction and Engineering,InVision,Extremely Competitive,India,21.0
Website Development,Entry Level,Small Business/Local Business,Bootstrap,Competitive,Japan,21.0
Application Development,Intermediate,Retail (Non-E-commerce),Adobe XD,Competitive,China,17.0
Website Development,Intermediate,Finance and Banking,Bootstrap,Extremely Competitive,France,17.0
Application Development,Intermediate,Non-Profit and NGOs,Axure,Competitive,Brazil,15.0
Website Development,Entry Level,Media and Entertainment,Ruby on Rails,Extremely Competitive,China,14.0
Application Development,Expert,Personal Blogs/Portfolios,Balsamiq,Competitive,Turkey,31.0
Application Development,Intermediate,Personal Blogs/Portfolios,InVision,Uncompetitive,Japan,24.0
Website Development,Expert,Energy and Utilities,Flutter,Extremely Competitive,Indonesia,19.0
Application Development,Expert,Healthcare,Proto.io,Competitive,United States,38.0
Website Development,Intermediate,Personal Blogs/Portfolios,Visual Studio Code,Competitive,Italy,20.0
Web Scraping,Entry Level,Personal Blogs/Portfolios,Selenium,Competitive,South Korea,23.0
Website Development,Intermediate,Insurance,Ruby on Rails,Competitive,Brazil,11.0
Application Development,Expert,Education,Figma,Competitive,Japan,24.0
Application Development,Entry Level,Media and Entertainment,Adobe XD,Uncompetitive,Brazil,15.0
Web Scraping,Intermediate,Telecommunications,DataMiner,Extremely Competitive,Austria,8.0
Website Development,Intermediate,Retail (Non-E-commerce),Laravel,Extremely Competitive,China,15.0
Web Scraping,Entry Level,Insurance,WebHarvy,Competitive,Netherlands,20.0
Web Scraping,Expert,Education,Octoparse,Uncompetitive,Russia,21.0
Web Scraping,Intermediate,Professional Services,Mozenda,Competitive,Indonesia,17.0
Website Development,Entry Level,Technology and SaaS,Django,Competitive,Australia,7.0
Web Scraping,Entry Level,Construction and Engineering,Beautiful Soup,Competitive,United States,29.0
Website Development,Expert,Energy and Utilities,TypeScript,Competitive,Indonesia,19.0
Web Scraping,Expert,Finance and Banking,Beautiful Soup,Competitive,Spain,23.0
Website Development,Entry Level,Technology and SaaS,Laravel,Competitive,Australia,7.0
Web Scraping,Entry Level,Insurance,DataMiner,Competitive,Switzerland,25.0
Application Development,Expert,Retail (Non-E-commerce),Affinity Designer,Uncompetitive,United States,36.0
Web Scraping,Expert,E-Commerce,Import.io,Competitive,France,14.0
Web Scraping,Expert,Manufacturing and Industrial,Beautiful Soup,Competitive,Indonesia,17.0
Application Development,Expert,Technology and SaaS,InVision,Competitive,Sweden,29.0
Application Development,Entry Level,Energy and Utilities,InVision,Uncompetitive,Germany,21.0
Website Development,Intermediate,Healthcare,Django,Competitive,China,15.0
Web Scraping,Expert,Education,ParseHub,Competitive,Mexico,19.0
Website Development,Entry Level,Construction and Engineering,Bootstrap,Competitive,France,17.0
Web Scraping,Expert,Education,DataMiner,Competitive,Sweden,24.0
Application Development,Expert,Healthcare,UXPin,Competitive,United Kingdom,33.0
Web Scraping,Entry Level,Energy and Utilities,Selenium,Competitive,Saudi Arabia,22.0
Website Development,Intermediate,Manufacturing and Industrial,Django,Competitive,Australia,8.0
Application Development,Intermediate,Non-Profit and NGOs,Figma,Competitive,France,19.0
Website Development,Intermediate,Government,WordPress,Competitive,Netherlands,22.0
Web Scraping,Intermediate,Finance and Banking,OutWit Hub,Uncompetitive,China,12.0
Application Development,Entry Level,Energy and Utilities,InVision,Competitive,South Korea,28.0
Web Scraping,Intermediate,E-Commerce,WebHarvy,Competitive,Germany,16.0
Application Development,Expert,Real Estate,Affinity Designer,Competitive,United Kingdom,32.0
Application Development,Intermediate,Media and Entertainment,Sketch,Competitive,Australia,11.0
Web Scraping,Entry Level,Small Business/Local Business,ParseHub,Competitive,Saudi Arabia,21.0
Website Development,Entry Level,Finance and Banking,Angular,Competitive,Australia,8.0
Web Scraping,Entry Level,Energy and Utilities,WebHarvy,Uncompetitive,France,14.0
Web Scraping,Intermediate,Real Estate,Beautiful Soup,Uncompetitive,Turkey,26.0
Application Development,Intermediate,Small Business/Local Business,Balsamiq,Competitive,Saudi Arabia,27.0
Web Scraping,Intermediate,Real Estate,OutWit Hub,Competitive,United Kingdom,28.0
Application Development,Expert,Retail (Non-E-commerce),Affinity Designer,Uncompetitive,United Kingdom,32.0
Application Development,Entry Level,Non-Profit and NGOs,Sketch,Competitive,China,18.0
Web Scraping,Intermediate,Manufacturing and Industrial,Scrapy,Competitive,Germany,16.0
Website Development,Intermediate,E-Commerce,Laravel,Competitive,Brazil,12.0
Web Scraping,Intermediate,Manufacturing and Industrial,Import.io,Uncompetitive,Germany,16.0
Web Scraping,Entry Level,Hospitality and Travel,Selenium,Extremely Competitive,Switzerland,24.0
Website Development,Intermediate,Professional Services,Next.js,Extremely Competitive,India,19.0
Web Scraping,Intermediate,Hospitality and Travel,DataMiner,Competitive,Norway,20.0
Web Scraping,Intermediate,Telecommunications,WebHarvy,Competitive,France,15.0
Application Development,Intermediate,Energy and Utilities,Proto.io,Competitive,Italy,23.0
Application Development,Entry Level,Education,InVision,Competitive,India,22.0
Website Development,Entry Level,Small Business/Local Business,Bootstrap,Uncompetitive,Japan,21.0
Application Development,Expert,Energy and Utilities,Marvel,Competitive,Thailand,30.0
Application Development,Expert,Small Business/Local Business,Marvel,Uncompetitive,Turkey,31.0
Application Development,Expert,Personal Blogs/Portfolios,Balsamiq,Competitive,South Korea,27.0
Web Scraping,Entry Level,Personal Blogs/Portfolios,Beautiful Soup,Competitive,United States,31.0
Application Development,Intermediate,Insurance,Axure,Competitive,Netherlands,25.0
Website Development,Expert,Insurance,Django,Competitive,Australia,7.0
Application Development,Intermediate,Education,Axure,Competitive,South Korea,27.0
Website Development,Intermediate,Healthcare,Next.js,Uncompetitive,Russia,23.0
Website Development,Expert,Education,Express.js,Competitive,South Korea,24.0
Website Development,Entry Level,Technology and SaaS,Angular,Extremely Competitive,Canada,13.0
Application Development,Intermediate,Manufacturing and Industrial,Figma,Competitive,South Korea,27.0
Application Development,Intermediate,Non-Profit and NGOs,InVision,Competitive,France,19.0
Website Development,Intermediate,E-Commerce,Flutter,Competitive,Netherlands,22.0
Web Scraping,Entry Level,Manufacturing and Industrial,WebHarvy,Competitive,South Korea,22.0
Website Development,Expert,Professional Services,Angular,Competitive,Canada,13.0
Application Development,Entry Level,Hospitality and Travel,Figma,Extremely Competitive,China,18.0
Website Development,Entry Level,Retail (Non-E-commerce),TypeScript,Extremely Competitive,India,18.0
Application Development,Intermediate,Small Business/Local Business,Balsamiq,Uncompetitive,United Arab Emirates,31.0
Application Development,Expert,E-Commerce,Affinity Designer,Uncompetitive,United States,36.0
Web Scraping,Expert,Personal Blogs/Portfolios,Scrapy,Uncompetitive,United Kingdom,28.0
Application Development,Entry Level,Construction and Engineering,Marvel,Competitive,Germany,20.0
Website Development,Expert,Healthcare,Bootstrap,Uncompetitive,Turkey,28.0
Web Scraping,Entry Level,Small Business/Local Business,ParseHub,Extremely Competitive,Germany,15.0
Web Scraping,Intermediate,Manufacturing and Industrial,ParseHub,Competitive,Russia,21.0
Website Development,Intermediate,Telecommunications,Node.js,Competitive,Argentina,5.0
Website Development,Expert,Hospitality and Travel,Django,Competitive,China,15.0
Application Development,Entry Level,Energy and Utilities,Marvel,Competitive,Japan,24.0
Web Scraping,Intermediate,Technology and SaaS,ParseHub,Competitive,Canada,11.0
Website Development,Intermediate,Construction and Engineering,Drupal,Competitive,Saudi Arabia,24.0
Application Development,Entry Level,Finance and Banking,Adobe XD,Competitive,Germany,21.0
Web Scraping,Expert,Automotive,Selenium,Competitive,United States,30.0
Website Development,Intermediate,Media and Entertainment,Express.js,Competitive,China,15.0
Website Development,Expert,Manufacturing and Industrial,Express.js,Competitive,China,15.0
Application Development,Intermediate,Automotive,Balsamiq,Competitive,United Kingdom,32.0
Website Development,Intermediate,Small Business/Local Business,Flutter,Competitive,Austria,10.0
Web Scraping,Intermediate,Personal Blogs/Portfolios,Octoparse,Competitive,India,17.0
Application Development,Entry Level,Technology and SaaS,UXPin,Extremely Competitive,Thailand,30.0
Web Scraping,Expert,Real Estate,Import.io,Competitive,United States,29.0
Web Scraping,Expert,Retail (Non-E-commerce),Octoparse,Competitive,Thailand,25.0
Web Scraping,Intermediate,Professional Services,OutWit Hub,Extremely Competitive,India,17.0
Website Development,Expert,Insurance,TypeScript,Extremely Competitive,Brazil,12.0
Web Scraping,Intermediate,Insurance,Scrapy,Competitive,China,13.0
Application Development,Expert,Healthcare,Affinity Designer,Competitive,United States,36.0
Application Development,Entry Level,Technology and SaaS,UXPin,Competitive,Japan,24.0
Website Development,Entry Level,Finance and Banking,Next.js,Competitive,Brazil,12.0
Web Scraping,Intermediate,Finance and Banking,DataMiner,Competitive,Australia,6.0
Application Development,Expert,Education,Marvel,Uncompetitive,Germany,21.0
Web Scraping,Intermediate,Construction and Engineering,Octoparse,Uncompetitive,Turkey,26.0
Application Development,Intermediate,Telecommunications,Proto.io,Competitive,Japan,24.0
Web Scraping,Intermediate,Healthcare,OutWit Hub,Uncompetitive,South Korea,23.0
Web Scraping,Expert,Non-Profit and NGOs,Beautiful Soup,Competitive,Russia,21.0
Website Development,Entry Level,Retail (Non-E-commerce),TypeScript,Extremely Competitive,China,15.0
Application Development,Entry Level,Healthcare,UXPin,Competitive,United Kingdom,32.0
Website Development,Intermediate,Government,Flutter,Uncompetitive,Germany,17.0
Website Development,Intermediate,Healthcare,WordPress,Competitive,Poland,22.0
Web Scraping,Intermediate,Healthcare,Selenium,Competitive,United Kingdom,29.0
Website Development,Intermediate,Small Business/Local Business,Bootstrap,Uncompetitive,Germany,17.0
Application Development,Entry Level,Professional Services,UXPin,Competitive,Thailand,30.0
Application Development,Expert,Insurance,UXPin,Competitive,Netherlands,25.0
Application Development,Expert,Personal Blogs/Portfolios,Affinity Designer,Competitive,United Kingdom,32.0
Application Development,Intermediate,Telecommunications,Sketch,Competitive,Argentina,9.0
Web Scraping,Expert,E-Commerce,DataMiner,Competitive,Thailand,25.0
Website Development,Expert,Education,Bootstrap,Extremely Competitive,Switzerland,26.0
Web Scraping,Entry Level,Personal Blogs/Portfolios,OutWit Hub,Extremely Competitive,United States,34.0
Application Development,Intermediate,Finance and Banking,Marvel,Competitive,Belgium,13.0
Web Scraping,Expert,Real Estate,Octoparse,Competitive,Russia,21.0
Website Development,Intermediate,Telecommunications,Ruby on Rails,Competitive,Canada,14.0
Application Development,Intermediate,Real Estate,Axure,Extremely Competitive,United States,35.0
Website Development,Intermediate,Finance and Banking,Laravel,Competitive,Brazil,12.0
Web Scraping,Entry Level,E-Commerce,Mozenda,Competitive,Switzerland,24.0
Web Scraping,Intermediate,Hospitality and Travel,Selenium,Extremely Competitive,Germany,15.0
Web Scraping,Expert,Retail (Non-E-commerce),Scrapy,Competitive,Thailand,25.0
Application Development,Entry Level,Government,UXPin,Extremely Competitive,South Korea,27.0
Application Development,Expert,Manufacturing and Industrial,Figma,Competitive,Saudi Arabia,27.0
Application Development,Intermediate,Personal Blogs/Portfolios,Axure,Competitive,United States,35.0
Website Development,Intermediate,Real Estate,WordPress,Uncompetitive,Italy,20.0
Web Scraping,Entry Level,Personal Blogs/Portfolios,ParseHub,Competitive,Spain,23.0
Application Development,Entry Level,Non-Profit and NGOs,Axure,Competitive,Russia,26.0
Web Scraping,Intermediate,Insurance,Beautiful Soup,Competitive,China,13.0
Website Development,Entry Level,Technology and SaaS,Laravel,Competitive,Australia,9.0
Application Development,Intermediate,Insurance,Axure,Competitive,France,19.0
Web Scraping,Intermediate,Hospitality and Travel,Selenium,Competitive,Russia,21.0
Application Development,Intermediate,Hospitality and Travel,Axure,Competitive,Switzerland,29.0
Website Development,Intermediate,Telecommunications,TypeScript,Uncompetitive,Australia,9.0
Website Development,Entry Level,Construction and Engineering,Laravel,Competitive,Belgium,11.0
Application Development,Intermediate,Small Business/Local Business,Affinity Designer,Extremely Competitive,Spain,28.0
Web Scraping,Intermediate,Professional Services,Beautiful Soup,Competitive,Germany,16.0
Website Development,Entry Level,Non-Profit and NGOs,Django,Competitive,Australia,7.0
Web Scraping,Expert,Education,Beautiful Soup,Competitive,Israel,18.0
Application Development,Intermediate,Professional Services,InVision,Uncompetitive,Mexico,24.0
Web Scraping,Entry Level,Real Estate,WebHarvy,Uncompetitive,United Kingdom,27.0
Application Development,Intermediate,Telecommunications,UXPin,Extremely Competitive,Mexico,24.0
Application Development,Entry Level,Retail (Non-E-commerce),Axure,Uncompetitive,United Kingdom,32.0
Web Scraping,Entry Level,Energy and Utilities,Mozenda,Competitive,Indonesia,17.0
Web Scraping,Entry Level,Finance and Banking,Selenium,Competitive,Germany,16.0
Web Scraping,Expert,Government,Octoparse,Competitive,United Kingdom,28.0
Application Development,Entry Level,Manufacturing and Industrial,InVision,Competitive,Russia,26.0
Application Development,Entry Level,Telecommunications,Adobe XD,Competitive,Belgium,14.0
Application Development,Intermediate,Healthcare,Axure,Uncompetitive,Turkey,31.0
Website Development,Intermediate,Retail (Non-E-commerce),Express.js,Competitive,Switzerland,26.0
Application Development,Intermediate,Telecommunications,Axure,Competitive,Netherlands,25.0
Website Development,Intermediate,Construction and Engineering,TypeScript,Competitive,France,17.0
Web Scraping,Expert,Construction and Engineering,DataMiner,Competitive,United Kingdom,27.0
Website Development,Entry Level,Healthcare,Express.js,Uncompetitive,Netherlands,22.0
Website Development,Intermediate,Personal Blogs/Portfolios,Flutter,Competitive,Germany,17.0
Web Scraping,Entry Level,Personal Blogs/Portfolios,Selenium,Competitive,Switzerland,25.0
Web Scraping,Entry Level,Energy and Utilities,Octoparse,Competitive,Germany,15.0
Web Scraping,Intermediate,Retail (Non-E-commerce),Scrapy,Extremely Competitive,Saudi Arabia,22.0
Web Scraping,Intermediate,Small Business/Local Business,Selenium,Uncompetitive,Norway,20.0
Application Development,Expert,Automotive,UXPin,Competitive,United States,34.0
Website Development,Expert,Construction and Engineering,Bootstrap,Competitive,Indonesia,19.0
Website Development,Expert,Healthcare,Bootstrap,Uncompetitive,Italy,20.0
Web Scraping,Expert,Media and Entertainment,Selenium,Extremely Competitive,United States,31.0
Web Scraping,Expert,Education,Selenium,Competitive,Italy,18.0
Application Development,Expert,E-Commerce,InVision,Competitive,Spain,28.0
Web Scraping,Intermediate,Energy and Utilities,Beautiful Soup,Competitive,Poland,20.0
Web Scraping,Intermediate,Telecommunications,Scrapy,Extremely Competitive,Germany,15.0
Website Development,Intermediate,Government,Flutter,Competitive,Indonesia,19.0
Web Scraping,Expert,Retail (Non-E-commerce),WebHarvy,Competitive,Switzerland,24.0
Web Scraping,Entry Level,Finance and Banking,OutWit Hub,Competitive,India,16.0
Web Scraping,Expert,Hospitality and Travel,Mozenda,Competitive,Indonesia,17.0
Website Development,Intermediate,Construction and Engineering,Next.js,Competitive,Indonesia,19.0
Application Development,Entry Level,Automotive,UXPin,Competitive,Switzerland,29.0
Website Development,Entry Level,Construction and Engineering,Bootstrap,Competitive,South Korea,24.0
Web Scraping,Expert,Small Business/Local Business,Mozenda,Extremely Competitive,Indonesia,17.0
Web Scraping,Entry Level,Non-Profit and NGOs,Mozenda,Extremely Competitive,China,14.0
Application Development,Intermediate,Small Business/Local Business,Figma,Competitive,China,18.0
Application Development,Entry Level,Small Business/Local Business,Figma,Competitive,Norway,25.0
Application Development,Intermediate,E-Commerce,Proto.io,Competitive,Japan,24.0
Web Scraping,Intermediate,Personal Blogs/Portfolios,ParseHub,Competitive,Spain,23.0
Website Development,Entry Level,Manufacturing and Industrial,Bootstrap,Uncompetitive,India,18.0
Website Development,Intermediate,Education,Angular,Competitive,Belgium,11.0
Application Development,Intermediate,Construction and Engineering,InVision,Uncompetitive,Turkey,31.0
Application Development,Entry Level,Non-Profit and NGOs,Proto.io,Competitive,India,21.0
Website Development,Intermediate,Government,Ruby on Rails,Extremely Competitive,Australia,9.0
Web Scraping,Entry Level,E-Commerce,Mozenda,Competitive,Canada,11.0
Application Development,Entry Level,Construction and Engineering,Marvel,Extremely Competitive,United Arab Emirates,32.0
Website Development,Entry Level,Insurance,Vue.js,Extremely Competitive,Austria,10.0
Website Development,Intermediate,Real Estate,Ruby on Rails,Competitive,China,14.0
Web Scraping,Entry Level,Retail (Non-E-commerce),WebHarvy,Competitive,China,14.0
Web Scraping,Intermediate,Manufacturing and Industrial,DataMiner,Extremely Competitive,China,12.0
Web Scraping,Expert,Finance and Banking,Octoparse,Competitive,India,16.0
Application Development,Intermediate,Small Business/Local Business,Axure,Uncompetitive,France,19.0
Web Scraping,Entry Level,Manufacturing and Industrial,Scrapy,Competitive,Japan,19.0
Web Scraping,Expert,Manufacturing and Industrial,Import.io,Competitive,United States,29.0
Application Development,Intermediate,Government,Axure,Competitive,Norway,25.0
Website Development,Intermediate,Technology and SaaS,Laravel,Competitive,Argentina,6.0
Web Scraping,Entry Level,Small Business/Local Business,DataMiner,Competitive,Norway,20.0
Web Scraping,Intermediate,Energy and Utilities,Import.io,Extremely Competitive,India,16.0
Website Development,Intermediate,Hospitality and Travel,TypeScript,Competitive,Brazil,12.0
Web Scraping,Expert,Manufacturing and Industrial,Selenium,Competitive,Russia,21.0
Web Scraping,Intermediate,Insurance,Scrapy,Competitive,Brazil,10.0
Website Development,Entry Level,Government,Ruby on Rails,Uncompetitive,Belgium,11.0
Website Development,Intermediate,Energy and Utilities,Laravel,Competitive,Belgium,11.0
Application Development,Intermediate,Manufacturing and Industrial,Marvel,Competitive,Switzerland,29.0
Application Development,Expert,Manufacturing and Industrial,UXPin,Competitive,Japan,24.0
Application Development,Expert,Automotive,Figma,Competitive,South Korea,27.0
Web Scraping,Intermediate,Non-Profit and NGOs,ParseHub,Competitive,Japan,19.0
Website Development,Intermediate,Hospitality and Travel,Angular,Competitive,Canada,13.0
Application Development,Intermediate,Energy and Utilities,Axure,Extremely Competitive,China,19.0
Application Development,Intermediate,Insurance,Proto.io,Competitive,Israel,23.0
Website Development,Entry Level,Finance and Banking,Laravel,Competitive,Australia,8.0
Application Development,Intermediate,Construction and Engineering,Figma,Extremely Competitive,Mexico,25.0
Website Development,Intermediate,Technology and SaaS,Flutter,Extremely Competitive,Brazil,12.0
Web Scraping,Entry Level,Retail (Non-E-commerce),Beautiful Soup,Uncompetitive,Thailand,26.0
Web Scraping,Expert,Government,Selenium,Competitive,Spain,23.0
Application Development,Expert,Insurance,Marvel,Competitive,Russia,26.0
Website Development,Intermediate,Real Estate,Express.js,Competitive,India,18.0
Application Development,Entry Level,Hospitality and Travel,InVision,Extremely Competitive,Japan,24.0
Application Development,Expert,Insurance,Axure,Extremely Competitive,United Kingdom,34.0
Application Development,Entry Level,Professional Services,Adobe XD,Extremely Competitive,Indonesia,22.0
Web Scraping,Expert,Government,Octoparse,Competitive,United States,30.0
Application Development,Intermediate,Technology and SaaS,Figma,Extremely Competitive,Australia,10.0
Website Development,Intermediate,Finance and Banking,Flutter,Competitive,Austria,10.0
Application Development,Expert,Small Business/Local Business,Proto.io,Competitive,United States,38.0
Application Development,Expert,Non-Profit and NGOs,InVision,Competitive,Germany,20.0
Website Development,Intermediate,Finance and Banking,Laravel,Competitive,Brazil,12.0
Web Scraping,Intermediate,Manufacturing and Industrial,Octoparse,Competitive,Indonesia,17.0
Application Development,Expert,Hospitality and Travel,Marvel,Competitive,Russia,26.0
Website Development,Intermediate,Non-Profit and NGOs,Django,Extremely Competitive,Argentina,5.0
Website Development,Intermediate,Healthcare,Flutter,Competitive,Germany,17.0
Web Scraping,Entry Level,Construction and Engineering,Scrapy,Extremely Competitive,Thailand,25.0
Web Scraping,Entry Level,Energy and Utilities,Scrapy,Competitive,South Korea,22.0
Application Development,Entry Level,Healthcare,Affinity Designer,Extremely Competitive,United States,36.0
Website Development,Intermediate,Personal Blogs/Portfolios,Next.js,Uncompetitive,Brazil,12.0
Application Development,Entry Level,Government,Marvel,Competitive,Netherlands,25.0
Web Scraping,Intermediate,Professional Services,DataMiner,Competitive,India,16.0
Web Scraping,Intermediate,Finance and Banking,ParseHub,Extremely Competitive,Italy,18.0
Web Scraping,Expert,Education,WebHarvy,Competitive,Germany,16.0
Application Development,Intermediate,Hospitality and Travel,Balsamiq,Competitive,Spain,28.0
Web Scraping,Entry Level,Hospitality and Travel,DataMiner,Competitive,United Arab Emirates,27.0
Web Scraping,Intermediate,Technology and SaaS,OutWit Hub,Extremely Competitive,Netherlands,20.0
Web Scraping,Intermediate,Healthcare,Beautiful Soup,Competitive,Thailand,25.0
Web Scraping,Expert,E-Commerce,WebHarvy,Competitive,Spain,23.0
Web Scraping,Expert,Telecommunications,Beautiful Soup,Competitive,Germany,15.0
Application Development,Intermediate,Real Estate,Affinity Designer,Uncompetitive,United Kingdom,33.0
Web Scraping,Intermediate,Healthcare,ParseHub,Competitive,Japan,19.0
Application Development,Intermediate,Media and Entertainment,InVision,Competitive,Thailand,31.0
Application Development,Expert,Finance and Banking,Proto.io,Competitive,Israel,23.0
Application Development,Intermediate,Construction and Engineering,Proto.io,Competitive,Spain,28.0
Web Scraping,Entry Level,Finance and Banking,ParseHub,Competitive,Brazil,10.0
Web Scraping,Intermediate,Hospitality and Travel,Beautiful Soup,Extremely Competitive,Mexico,20.0
Application Development,Intermediate,Hospitality and Travel,Proto.io,Competitive,Saudi Arabia,26.0
Website Development,Expert,Technology and SaaS,Django,Uncompetitive,Austria,10.0
Application Development,Expert,Construction and Engineering,Affinity Designer,Competitive,United Kingdom,33.0
Application Development,Intermediate,Government,InVision,Uncompetitive,Spain,28.0
Web Scraping,Intermediate,Small Business/Local Business,Scrapy,Competitive,Austria,8.0
Application Development,Intermediate,Small Business/Local Business,InVision,Competitive,Japan,24.0
Application Development,Entry Level,Personal Blogs/Portfolios,Balsamiq,Competitive,Thailand,31.0
Application Development,Intermediate,Real Estate,Marvel,Competitive,Saudi Arabia,26.0
Application Development,Entry Level,Construction and Engineering,UXPin,Uncompetitive,United Arab Emirates,32.0
Application Development,Expert,Healthcare,Balsamiq,Competitive,United States,35.0
Web Scraping,Expert,Non-Profit and NGOs,Beautiful Soup,Competitive,Mexico,20.0
Application Development,Expert,Healthcare,UXPin,Competitive,United States,38.0
Application Development,Expert,Media and Entertainment,Proto.io,Extremely Competitive,Germany,20.0
Website Development,Entry Level,Automotive,Bootstrap,Extremely Competitive,India,19.0
Website Development,Entry Level,Retail (Non-E-commerce),Figma,Uncompetitive,Thailand,27.0
Application Development,Entry Level,Retail (Non-E-commerce),Balsamiq,Competitive,United States,35.0
Application Development,Intermediate,Non-Profit and NGOs,InVision,Competitive,Indonesia,22.0
Web Scraping,Intermediate,Government,ParseHub,Uncompetitive,South Korea,22.0
Web Scraping,Intermediate,Insurance,DataMiner,Competitive,Indonesia,17.0
Website Development,Entry Level,Insurance,Flutter,Competitive,Belgium,11.0
Application Development,Entry Level,Small Business/Local Business,Proto.io,Competitive,Switzerland,29.0
Web Scraping,Intermediate,Insurance,Import.io,Competitive,Germany,16.0
Web Scraping,Entry Level,Hospitality and Travel,Import.io,Competitive,Switzerland,24.0
Website Development,Entry Level,Professional Services,Flutter,Competitive,Brazil,12.0
Application Development,Intermediate,Insurance,Sketch,Uncompetitive,Canada,17.0
Web Scraping,Entry Level,Construction and Engineering,ParseHub,Uncompetitive,India,16.0
Web Scraping,Entry Level,Professional Services,Octoparse,Competitive,Switzerland,24.0
Application Development,Expert,Telecommunications,UXPin,Extremely Competitive,Spain,28.0
Web Scraping,Entry Level,Retail (Non-E-commerce),Scrapy,Uncompetitive,United States,32.0
Website Development,Expert,Education,Laravel,Competitive,China,15.0
Website Development,Expert,E-Commerce,WordPress,Uncompetitive,Mexico,22.0
Web Scraping,Intermediate,Education,Scrapy,Competitive,Australia,8.0
Web Scraping,Entry Level,Manufacturing and Industrial,Octoparse,Competitive,South Korea,22.0
Application Development,Intermediate,Construction and Engineering,Adobe XD,Uncompetitive,France,19.0
Application Development,Intermediate,Real Estate,Marvel,Extremely Competitive,Mexico,24.0
Application Development,Intermediate,Retail (Non-E-commerce),UXPin,Competitive,Spain,28.0
Web Scraping,Intermediate,Education,Mozenda,Extremely Competitive,Germany,16.0
Website Development,Expert,Technology and SaaS,Flutter,Competitive,China,15.0
Website Development,Expert,Non-Profit and NGOs,Laravel,Uncompetitive,Australia,7.0
Application Development,Expert,Insurance,Affinity Designer,Competitive,Switzerland,29.0
Website Development,Intermediate,Hospitality and Travel,Laravel,Uncompetitive,Austria,10.0
Web Scraping,Intermediate,Finance and Banking,Octoparse,Competitive,Indonesia,17.0
Application Development,Intermediate,Manufacturing and Industrial,Sketch,Competitive,China,18.0
Web Scraping,Entry Level,Personal Blogs/Portfolios,Octoparse,Competitive,Spain,23.0
Web Scraping,Intermediate,Retail (Non-E-commerce),Selenium,Competitive,South Korea,22.0
Application Development,Intermediate,Healthcare,Affinity Designer,Extremely Competitive,Switzerland,29.0
Web Scraping,Intermediate,Telecommunications,Beautiful Soup,Extremely Competitive,China,12.0
Website Development,Expert,Real Estate,Drupal,Uncompetitive,South Korea,24.0
Web Scraping,Intermediate,Automotive,Mozenda,Competitive,Poland,21.0
Application Development,Intermediate,Telecommunications,Adobe XD,Competitive,Australia,11.0
Website Development,Expert,Non-Profit and NGOs,Express.js,Competitive,Russia,23.0
Web Scraping,Expert,Healthcare,Octoparse,Extremely Competitive,United States,30.0
Website Development,Entry Level,Small Business/Local Business,TypeScript,Competitive,Brazil,12.0
Website Development,Entry Level,Construction and Engineering,Next.js,Competitive,China,15.0
Website Development,Intermediate,Media and Entertainment,Laravel,Competitive,Germany,17.0
Website Development,Entry Level,Insurance,Ruby on Rails,Competitive,Australia,7.0
Website Development,Expert,Healthcare,TypeScript,Competitive,Israel,20.0
Web Scraping,Expert,Healthcare,Beautiful Soup,Extremely Competitive,United Kingdom,28.0
Application Development,Expert,Personal Blogs/Portfolios,Balsamiq,Uncompetitive,Switzerland,29.0
Web Scraping,Entry Level,Non-Profit and NGOs,Octoparse,Extremely Competitive,France,14.0
Application Development,Expert,Automotive,Axure,Extremely Competitive,Thailand,30.0
Web Scraping,Expert,Hospitality and Travel,Beautiful Soup,Competitive,Japan,19.0
Application Development,Expert,Government,UXPin,Competitive,Thailand,30.0
Web Scraping,Intermediate,Personal Blogs/Portfolios,DataMiner,Competitive,Japan,19.0
Application Development,Entry Level,Non-Profit and NGOs,InVision,Extremely Competitive,France,20.0
Website Development,Entry Level,Hospitality and Travel,TypeScript,Competitive,Italy,20.0
Application Development,Expert,Hospitality and Travel,Proto.io,Competitive,United Arab Emirates,31.0
Web Scraping,Intermediate,Telecommunications,DataMiner,Competitive,Poland,20.0
Application Development,Intermediate,Technology and SaaS,Figma,Competitive,Canada,16.0
Website Development,Entry Level,Non-Profit and NGOs,Ruby on Rails,Extremely Competitive,Australia,8.0
Website Development,Entry Level,Automotive,Next.js,Competitive,Canada,14.0
Application Development,Expert,Real Estate,Axure,Competitive,United Kingdom,34.0
Web Scraping,Intermediate,Retail (Non-E-commerce),Mozenda,Competitive,United States,29.0
Application Development,Intermediate,Construction and Engineering,UXPin,Competitive,Poland,26.0
Web Scraping,Expert,Government,Mozenda,Competitive,United Arab Emirates,26.0
Application Development,Intermediate,Government,Affinity Designer,Competitive,Turkey,31.0
Web Scraping,Entry Level,Energy and Utilities,Octoparse,Competitive,Canada,12.0
