Job Title,EX_level_demand,Description,Technical_Tool,Applicants_Num,Spent($),Client_Country,Hourly_Rate
Website Development,Intermediate,Telecommunications,Django,10 to 15,7500.0,Belgium,10.0
Web Scraping,Expert,Non-Profit and NGOs,Scrapy,5 to 10,8700.0,Italy,18.0
Web Scraping,Entry Level,Real Estate,Import.io,5 to 10,87500.0,Indonesia,17.0
Application Development,Intermediate,Media and Entertainment,Adobe XD,15 to 20,25200.0,China,17.0
Application Development,Expert,Insurance,Proto.io,Less than 5,78300.0,South Korea,27.0
Application Development,Expert,Media and Entertainment,Figma,50+,67800.0,Japan,24.0
Website Development,Entry Level,Technology and SaaS,TypeScript,15 to 20,15900.0,China,16.0
Website Development,Expert,Finance and Banking,Next.js,15 to 20,90000.0,China,14.0
Website Development,Entry Level,Real Estate,Visual Studio Code,20 to 50,84700.0,South Korea,24.0
Website Development,Intermediate,Media and Entertainment,TypeScript,5 to 10,33900.0,Brazil,12.0
Web Scraping,Entry Level,Retail (Non-E-commerce),ParseHub,10 to 15,66200.0,United States,35.0
Application Development,Entry Level,Real Estate,Axure,5 to 10,38800.0,Indonesia,22.0
Application Development,Expert,Construction and Engineering,UXPin,Less than 5,11100.0,Sweden,29.0
Website Development,Entry Level,Media and Entertainment,Flutter,50+,17300.0,China,16.0
Website Development,Entry Level,Finance and Banking,Flutter,5 to 10,2300.0,Austria,10.0
Website Development,Entry Level,Finance and Banking,React.js,Less than 5,49900.0,Australia,9.0
Website Development,Intermediate,E-Commerce,Angular,20 to 50,39300.0,Argentina,3.0
Website Development,Entry Level,E-Commerce,Ruby on Rails,10 to 15,98500.0,Brazil,12.0
Application Development,Entry Level,Retail (Non-E-commerce),Marvel,Less than 5,49800.0,Russia,26.0
Website Development,Entry Level,Healthcare,Express.js,10 to 15,35000.0,Spain,25.0
Application Development,Entry Level,Hospitality and Travel,Axure,20 to 50,14800.0,Japan,24.0
Application Development,Intermediate,Real Estate,Proto.io,50+,59500.0,United States,35.0
Application Development,Intermediate,Non-Profit and NGOs,Figma,50+,46300.0,China,17.0
Website Development,Intermediate,Personal Blogs/Portfolios,Laravel,50+,63800.0,India,18.0
Web Scraping,Expert,Professional Services,Beautiful Soup,10 to 15,27300.0,Norway,20.0
Application Development,Intermediate,Real Estate,Marvel,20 to 50,67900.0,Indonesia,22.0
Website Development,Expert,Retail (Non-E-commerce),Figma,10 to 15,90300.0,Poland,22.0
Web Scraping,Expert,Finance and Banking,OutWit Hub,50+,86200.0,Thailand,25.0
Application Development,Expert,Education,Balsamiq,20 to 50,35600.0,Turkey,31.0
Website Development,Expert,Manufacturing and Industrial,Bootstrap,10 to 15,88900.0,Poland,22.0
Application Development,Expert,Finance and Banking,Balsamiq,50+,76200.0,United Kingdom,32.0
Website Development,Entry Level,Manufacturing and Industrial,Express.js,5 to 10,84100.0,France,16.0
Application Development,Entry Level,Education,Adobe XD,15 to 20,72600.0,Indonesia,22.0
Application Development,Expert,Energy and Utilities,Adobe XD,15 to 20,84600.0,Indonesia,22.0
Web Scraping,Entry Level,Construction and Engineering,Octoparse,10 to 15,2700.0,Turkey,26.0
Application Development,Intermediate,Technology and SaaS,Balsamiq,10 to 15,76900.0,Italy,23.0
Web Scraping,Expert,E-Commerce,WebHarvy,20 to 50,62600.0,South Korea,23.0
Web Scraping,Intermediate,Non-Profit and NGOs,DataMiner,20 to 50,34900.0,India,16.0
Application Development,Expert,E-Commerce,Axure,5 to 10,30500.0,United Kingdom,33.0
Application Development,Expert,Energy and Utilities,Axure,50+,38400.0,Sweden,29.0
Web Scraping,Expert,Professional Services,OutWit Hub,10 to 15,19300.0,India,16.0
Application Development,Entry Level,Construction and Engineering,InVision,50+,10100.0,India,21.0
Website Development,Entry Level,Small Business/Local Business,Bootstrap,15 to 20,33300.0,Japan,21.0
Application Development,Intermediate,Retail (Non-E-commerce),Adobe XD,20 to 50,46300.0,China,17.0
Website Development,Intermediate,Finance and Banking,Bootstrap,50+,90000.0,France,17.0
Application Development,Intermediate,Non-Profit and NGOs,Axure,20 to 50,27800.0,Brazil,15.0
Website Development,Entry Level,Media and Entertainment,Ruby on Rails,50+,46100.0,China,14.0
Application Development,Expert,Personal Blogs/Portfolios,Balsamiq,20 to 50,72600.0,Turkey,31.0
Application Development,Intermediate,Personal Blogs/Portfolios,InVision,Less than 5,91500.0,Japan,24.0
Website Development,Expert,Energy and Utilities,Flutter,50+,81100.0,Indonesia,19.0
Application Development,Expert,Healthcare,Proto.io,10 to 15,38200.0,United States,38.0
Website Development,Intermediate,Personal Blogs/Portfolios,Visual Studio Code,15 to 20,69500.0,Italy,20.0
Web Scraping,Entry Level,Personal Blogs/Portfolios,Selenium,10 to 15,6100.0,South Korea,23.0
Website Development,Intermediate,Insurance,Ruby on Rails,5 to 10,69100.0,Brazil,11.0
Application Development,Expert,Education,Figma,5 to 10,19300.0,Japan,24.0
Application Development,Entry Level,Media and Entertainment,Adobe XD,Less than 5,71900.0,Brazil,15.0
Web Scraping,Intermediate,Telecommunications,DataMiner,50+,83900.0,Austria,8.0
Website Development,Intermediate,Retail (Non-E-commerce),Laravel,50+,48500.0,China,15.0
Web Scraping,Entry Level,Insurance,WebHarvy,15 to 20,52900.0,Netherlands,20.0
Web Scraping,Expert,Education,Octoparse,Less than 5,54800.0,Russia,21.0
Web Scraping,Intermediate,Professional Services,Mozenda,15 to 20,34600.0,Indonesia,17.0
Website Development,Entry Level,Technology and SaaS,Django,5 to 10,49700.0,Australia,7.0
Web Scraping,Entry Level,Construction and Engineering,Beautiful Soup,15 to 20,39300.0,United States,29.0
Website Development,Expert,Energy and Utilities,TypeScript,15 to 20,25500.0,Indonesia,19.0
Web Scraping,Expert,Finance and Banking,Beautiful Soup,20 to 50,84900.0,Spain,23.0
Website Development,Entry Level,Technology and SaaS,Laravel,20 to 50,99000.0,Australia,7.0
Web Scraping,Entry Level,Insurance,DataMiner,20 to 50,90900.0,Switzerland,25.0
Application Development,Expert,Retail (Non-E-commerce),Affinity Designer,Less than 5,79300.0,United States,36.0
Web Scraping,Expert,E-Commerce,Import.io,20 to 50,2100.0,France,14.0
Web Scraping,Expert,Manufacturing and Industrial,Beautiful Soup,5 to 10,75000.0,Indonesia,17.0
Application Development,Expert,Technology and SaaS,InVision,5 to 10,75400.0,Sweden,29.0
Application Development,Entry Level,Energy and Utilities,InVision,Less than 5,14200.0,Germany,21.0
Website Development,Intermediate,Healthcare,Django,15 to 20,31700.0,China,15.0
Web Scraping,Expert,Education,ParseHub,15 to 20,9400.0,Mexico,19.0
Website Development,Entry Level,Construction and Engineering,Bootstrap,20 to 50,69200.0,France,17.0
Web Scraping,Expert,Education,DataMiner,5 to 10,60900.0,Sweden,24.0
Application Development,Expert,Healthcare,UXPin,15 to 20,66800.0,United Kingdom,33.0
Web Scraping,Entry Level,Energy and Utilities,Selenium,20 to 50,64500.0,Saudi Arabia,22.0
Website Development,Intermediate,Manufacturing and Industrial,Django,10 to 15,98300.0,Australia,8.0
Application Development,Intermediate,Non-Profit and NGOs,Figma,20 to 50,2400.0,France,19.0
Website Development,Intermediate,Government,WordPress,15 to 20,47200.0,Netherlands,22.0
Web Scraping,Intermediate,Finance and Banking,OutWit Hub,Less than 5,18400.0,China,12.0
Application Development,Entry Level,Energy and Utilities,InVision,15 to 20,38500.0,South Korea,28.0
Web Scraping,Intermediate,E-Commerce,WebHarvy,20 to 50,92700.0,Germany,16.0
Application Development,Expert,Real Estate,Affinity Designer,20 to 50,63000.0,United Kingdom,32.0
Application Development,Intermediate,Media and Entertainment,Sketch,10 to 15,2800.0,Australia,11.0
Web Scraping,Entry Level,Small Business/Local Business,ParseHub,5 to 10,65300.0,Saudi Arabia,21.0
Website Development,Entry Level,Finance and Banking,Angular,20 to 50,4700.0,Australia,8.0
Web Scraping,Entry Level,Energy and Utilities,WebHarvy,Less than 5,50900.0,France,14.0
Web Scraping,Intermediate,Real Estate,Beautiful Soup,Less than 5,43000.0,Turkey,26.0
Application Development,Intermediate,Small Business/Local Business,Balsamiq,20 to 50,61900.0,Saudi Arabia,27.0
Web Scraping,Intermediate,Real Estate,OutWit Hub,5 to 10,88800.0,United Kingdom,28.0
Application Development,Expert,Retail (Non-E-commerce),Affinity Designer,Less than 5,60000.0,United Kingdom,32.0
Application Development,Entry Level,Non-Profit and NGOs,Sketch,10 to 15,30100.0,China,18.0
Web Scraping,Intermediate,Manufacturing and Industrial,Scrapy,20 to 50,87000.0,Germany,16.0
Website Development,Intermediate,E-Commerce,Laravel,5 to 10,69900.0,Brazil,12.0
Web Scraping,Intermediate,Manufacturing and Industrial,Import.io,Less than 5,76200.0,Germany,16.0
Web Scraping,Entry Level,Hospitality and Travel,Selenium,50+,73600.0,Switzerland,24.0
Website Development,Intermediate,Professional Services,Next.js,50+,35300.0,India,19.0
Web Scraping,Intermediate,Hospitality and Travel,DataMiner,10 to 15,17300.0,Norway,20.0
Web Scraping,Intermediate,Telecommunications,WebHarvy,20 to 50,72300.0,France,15.0
Application Development,Intermediate,Energy and Utilities,Proto.io,20 to 50,14600.0,Italy,23.0
Application Development,Entry Level,Education,InVision,15 to 20,53200.0,India,22.0
Website Development,Entry Level,Small Business/Local Business,Bootstrap,Less than 5,93700.0,Japan,21.0
Application Development,Expert,Energy and Utilities,Marvel,15 to 20,79600.0,Thailand,30.0
Application Development,Expert,Small Business/Local Business,Marvel,Less than 5,21600.0,Turkey,31.0
Application Development,Expert,Personal Blogs/Portfolios,Balsamiq,5 to 10,71200.0,South Korea,27.0
Web Scraping,Entry Level,Personal Blogs/Portfolios,Beautiful Soup,10 to 15,44400.0,United States,31.0
Application Development,Intermediate,Insurance,Axure,15 to 20,41500.0,Netherlands,25.0
Website Development,Expert,Insurance,Django,10 to 15,68400.0,Australia,7.0
Application Development,Intermediate,Education,Axure,5 to 10,85100.0,South Korea,27.0
Website Development,Intermediate,Healthcare,Next.js,Less than 5,95900.0,Russia,23.0
Website Development,Expert,Education,Express.js,15 to 20,56500.0,South Korea,24.0
Website Development,Entry Level,Technology and SaaS,Angular,50+,7300.0,Canada,13.0
Application Development,Intermediate,Manufacturing and Industrial,Figma,15 to 20,9000.0,South Korea,27.0
Application Development,Intermediate,Non-Profit and NGOs,InVision,15 to 20,63500.0,France,19.0
Website Development,Intermediate,E-Commerce,Flutter,10 to 15,81800.0,Netherlands,22.0
Web Scraping,Entry Level,Manufacturing and Industrial,WebHarvy,15 to 20,17600.0,South Korea,22.0
Website Development,Expert,Professional Services,Angular,10 to 15,68700.0,Canada,13.0
Application Development,Entry Level,Hospitality and Travel,Figma,50+,39900.0,China,18.0
Website Development,Entry Level,Retail (Non-E-commerce),TypeScript,50+,98200.0,India,18.0
Application Development,Intermediate,Small Business/Local Business,Balsamiq,Less than 5,11800.0,United Arab Emirates,31.0
Application Development,Expert,E-Commerce,Affinity Designer,Less than 5,82700.0,United States,36.0
Web Scraping,Expert,Personal Blogs/Portfolios,Scrapy,Less than 5,98800.0,United Kingdom,28.0
Application Development,Entry Level,Construction and Engineering,Marvel,20 to 50,53800.0,Germany,20.0
Website Development,Expert,Healthcare,Bootstrap,Less than 5,67900.0,Turkey,28.0
Web Scraping,Entry Level,Small Business/Local Business,ParseHub,50+,91400.0,Germany,15.0
Web Scraping,Intermediate,Manufacturing and Industrial,ParseHub,20 to 50,90900.0,Russia,21.0
Website Development,Intermediate,Telecommunications,Node.js,20 to 50,47800.0,Argentina,5.0
Website Development,Expert,Hospitality and Travel,Django,5 to 10,48800.0,China,15.0
Application Development,Entry Level,Energy and Utilities,Marvel,20 to 50,73900.0,Japan,24.0
Web Scraping,Intermediate,Technology and SaaS,ParseHub,5 to 10,9300.0,Canada,11.0
Website Development,Intermediate,Construction and Engineering,Drupal,5 to 10,56200.0,Saudi Arabia,24.0
Application Development,Entry Level,Finance and Banking,Adobe XD,5 to 10,18700.0,Germany,21.0
Web Scraping,Expert,Automotive,Selenium,20 to 50,95000.0,United States,30.0
Website Development,Intermediate,Media and Entertainment,Express.js,20 to 50,36100.0,China,15.0
Website Development,Expert,Manufacturing and Industrial,Express.js,10 to 15,48300.0,China,15.0
Application Development,Intermediate,Automotive,Balsamiq,5 to 10,59400.0,United Kingdom,32.0
Website Development,Intermediate,Small Business/Local Business,Flutter,15 to 20,1000.0,Austria,10.0
Web Scraping,Intermediate,Personal Blogs/Portfolios,Octoparse,20 to 50,77600.0,India,17.0
Application Development,Entry Level,Technology and SaaS,UXPin,50+,72700.0,Thailand,30.0
Web Scraping,Expert,Real Estate,Import.io,15 to 20,82000.0,United States,29.0
Web Scraping,Expert,Retail (Non-E-commerce),Octoparse,15 to 20,27700.0,Thailand,25.0
Web Scraping,Intermediate,Professional Services,OutWit Hub,50+,66400.0,India,17.0
Website Development,Expert,Insurance,TypeScript,50+,98500.0,Brazil,12.0
Web Scraping,Intermediate,Insurance,Scrapy,10 to 15,48400.0,China,13.0
Application Development,Expert,Healthcare,Affinity Designer,10 to 15,2900.0,United States,36.0
Application Development,Entry Level,Technology and SaaS,UXPin,10 to 15,99900.0,Japan,24.0
Website Development,Entry Level,Finance and Banking,Next.js,20 to 50,22000.0,Brazil,12.0
Web Scraping,Intermediate,Finance and Banking,DataMiner,5 to 10,55500.0,Australia,6.0
Application Development,Expert,Education,Marvel,Less than 5,23900.0,Germany,21.0
Web Scraping,Intermediate,Construction and Engineering,Octoparse,Less than 5,81300.0,Turkey,26.0
Application Development,Intermediate,Telecommunications,Proto.io,15 to 20,71200.0,Japan,24.0
Web Scraping,Intermediate,Healthcare,OutWit Hub,Less than 5,68700.0,South Korea,23.0
Web Scraping,Expert,Non-Profit and NGOs,Beautiful Soup,20 to 50,30400.0,Russia,21.0
Website Development,Entry Level,Retail (Non-E-commerce),TypeScript,50+,66600.0,China,15.0
Application Development,Entry Level,Healthcare,UXPin,15 to 20,77500.0,United Kingdom,32.0
Website Development,Intermediate,Government,Flutter,Less than 5,39200.0,Germany,17.0
Website Development,Intermediate,Healthcare,WordPress,5 to 10,56000.0,Poland,22.0
Web Scraping,Intermediate,Healthcare,Selenium,20 to 50,22200.0,United Kingdom,29.0
Website Development,Intermediate,Small Business/Local Business,Bootstrap,Less than 5,50200.0,Germany,17.0
Application Development,Entry Level,Professional Services,UXPin,5 to 10,5400.0,Thailand,30.0
Application Development,Expert,Insurance,UXPin,15 to 20,29700.0,Netherlands,25.0
Application Development,Expert,Personal Blogs/Portfolios,Affinity Designer,5 to 10,99200.0,United Kingdom,32.0
Application Development,Intermediate,Telecommunications,Sketch,20 to 50,82600.0,Argentina,9.0
Web Scraping,Expert,E-Commerce,DataMiner,10 to 15,73800.0,Thailand,25.0
Website Development,Expert,Education,Bootstrap,50+,44800.0,Switzerland,26.0
Web Scraping,Entry Level,Personal Blogs/Portfolios,OutWit Hub,50+,69600.0,United States,34.0
Application Development,Intermediate,Finance and Banking,Marvel,20 to 50,92500.0,Belgium,13.0
Web Scraping,Expert,Real Estate,Octoparse,5 to 10,5000.0,Russia,21.0
Website Development,Intermediate,Telecommunications,Ruby on Rails,20 to 50,85100.0,Canada,14.0
Application Development,Intermediate,Real Estate,Axure,50+,95200.0,United States,35.0
Website Development,Intermediate,Finance and Banking,Laravel,20 to 50,34200.0,Brazil,12.0
Web Scraping,Entry Level,E-Commerce,Mozenda,10 to 15,64200.0,Switzerland,24.0
Web Scraping,Intermediate,Hospitality and Travel,Selenium,50+,81600.0,Germany,15.0
Web Scraping,Expert,Retail (Non-E-commerce),Scrapy,15 to 20,41200.0,Thailand,25.0
Application Development,Entry Level,Government,UXPin,50+,15600.0,South Korea,27.0
Application Development,Expert,Manufacturing and Industrial,Figma,10 to 15,19900.0,Saudi Arabia,27.0
Application Development,Intermediate,Personal Blogs/Portfolios,Axure,15 to 20,46000.0,United States,35.0
Website Development,Intermediate,Real Estate,WordPress,Less than 5,51400.0,Italy,20.0
Web Scraping,Entry Level,Personal Blogs/Portfolios,ParseHub,15 to 20,37100.0,Spain,23.0
Application Development,Entry Level,Non-Profit and NGOs,Axure,15 to 20,59200.0,Russia,26.0
Web Scraping,Intermediate,Insurance,Beautiful Soup,20 to 50,54300.0,China,13.0
Website Development,Entry Level,Technology and SaaS,Laravel,15 to 20,65200.0,Australia,9.0
Application Development,Intermediate,Insurance,Axure,10 to 15,2700.0,France,19.0
Web Scraping,Intermediate,Hospitality and Travel,Selenium,10 to 15,7300.0,Russia,21.0
Application Development,Intermediate,Hospitality and Travel,Axure,20 to 50,54000.0,Switzerland,29.0
Website Development,Intermediate,Telecommunications,TypeScript,Less than 5,41300.0,Australia,9.0
Website Development,Entry Level,Construction and Engineering,Laravel,20 to 50,45300.0,Belgium,11.0
Application Development,Intermediate,Small Business/Local Business,Affinity Designer,50+,73800.0,Spain,28.0
Web Scraping,Intermediate,Professional Services,Beautiful Soup,20 to 50,19800.0,Germany,16.0
Website Development,Entry Level,Non-Profit and NGOs,Django,20 to 50,91600.0,Australia,7.0
Web Scraping,Expert,Education,Beautiful Soup,5 to 10,13900.0,Israel,18.0
Application Development,Intermediate,Professional Services,InVision,Less than 5,95000.0,Mexico,24.0
Web Scraping,Entry Level,Real Estate,WebHarvy,Less than 5,33300.0,United Kingdom,27.0
Application Development,Intermediate,Telecommunications,UXPin,50+,28400.0,Mexico,24.0
Application Development,Entry Level,Retail (Non-E-commerce),Axure,Less than 5,7100.0,United Kingdom,32.0
Web Scraping,Entry Level,Energy and Utilities,Mozenda,5 to 10,75300.0,Indonesia,17.0
Web Scraping,Entry Level,Finance and Banking,Selenium,20 to 50,51600.0,Germany,16.0
Web Scraping,Expert,Government,Octoparse,20 to 50,91700.0,United Kingdom,28.0
Application Development,Entry Level,Manufacturing and Industrial,InVision,20 to 50,43100.0,Russia,26.0
Application Development,Entry Level,Telecommunications,Adobe XD,5 to 10,49300.0,Belgium,14.0
Application Development,Intermediate,Healthcare,Axure,Less than 5,71500.0,Turkey,31.0
Website Development,Intermediate,Retail (Non-E-commerce),Express.js,15 to 20,13500.0,Switzerland,26.0
Application Development,Intermediate,Telecommunications,Axure,20 to 50,98800.0,Netherlands,25.0
Website Development,Intermediate,Construction and Engineering,TypeScript,10 to 15,29100.0,France,17.0
Web Scraping,Expert,Construction and Engineering,DataMiner,15 to 20,78400.0,United Kingdom,27.0
Website Development,Entry Level,Healthcare,Express.js,Less than 5,79000.0,Netherlands,22.0
Website Development,Intermediate,Personal Blogs/Portfolios,Flutter,20 to 50,27000.0,Germany,17.0
Web Scraping,Entry Level,Personal Blogs/Portfolios,Selenium,10 to 15,96900.0,Switzerland,25.0
Web Scraping,Entry Level,Energy and Utilities,Octoparse,20 to 50,24100.0,Germany,15.0
Web Scraping,Intermediate,Retail (Non-E-commerce),Scrapy,50+,48500.0,Saudi Arabia,22.0
Web Scraping,Intermediate,Small Business/Local Business,Selenium,Less than 5,18700.0,Norway,20.0
Application Development,Expert,Automotive,UXPin,5 to 10,43700.0,United States,34.0
Website Development,Expert,Construction and Engineering,Bootstrap,10 to 15,89300.0,Indonesia,19.0
Website Development,Expert,Healthcare,Bootstrap,Less than 5,12500.0,Italy,20.0
Web Scraping,Expert,Media and Entertainment,Selenium,50+,83400.0,United States,31.0
Web Scraping,Expert,Education,Selenium,20 to 50,36300.0,Italy,18.0
Application Development,Expert,E-Commerce,InVision,20 to 50,81000.0,Spain,28.0
Web Scraping,Intermediate,Energy and Utilities,Beautiful Soup,5 to 10,66400.0,Poland,20.0
Web Scraping,Intermediate,Telecommunications,Scrapy,50+,50700.0,Germany,15.0
Website Development,Intermediate,Government,Flutter,15 to 20,64400.0,Indonesia,19.0
Web Scraping,Expert,Retail (Non-E-commerce),WebHarvy,10 to 15,75600.0,Switzerland,24.0
Web Scraping,Entry Level,Finance and Banking,OutWit Hub,15 to 20,14400.0,India,16.0
Web Scraping,Expert,Hospitality and Travel,Mozenda,15 to 20,77400.0,Indonesia,17.0
Website Development,Intermediate,Construction and Engineering,Next.js,10 to 15,28000.0,Indonesia,19.0
Application Development,Entry Level,Automotive,UXPin,20 to 50,43300.0,Switzerland,29.0
Website Development,Entry Level,Construction and Engineering,Bootstrap,20 to 50,51000.0,South Korea,24.0
Web Scraping,Expert,Small Business/Local Business,Mozenda,50+,79600.0,Indonesia,17.0
Web Scraping,Entry Level,Non-Profit and NGOs,Mozenda,50+,39300.0,China,14.0
Application Development,Intermediate,Small Business/Local Business,Figma,10 to 15,52100.0,China,18.0
Application Development,Entry Level,Small Business/Local Business,Figma,20 to 50,65100.0,Norway,25.0
Application Development,Intermediate,E-Commerce,Proto.io,10 to 15,70600.0,Japan,24.0
Web Scraping,Intermediate,Personal Blogs/Portfolios,ParseHub,10 to 15,76100.0,Spain,23.0
Website Development,Entry Level,Manufacturing and Industrial,Bootstrap,Less than 5,64900.0,India,18.0
Website Development,Intermediate,Education,Angular,10 to 15,49600.0,Belgium,11.0
Application Development,Intermediate,Construction and Engineering,InVision,Less than 5,40000.0,Turkey,31.0
Application Development,Entry Level,Non-Profit and NGOs,Proto.io,20 to 50,21800.0,India,21.0
Website Development,Intermediate,Government,Ruby on Rails,50+,40300.0,Australia,9.0
Web Scraping,Entry Level,E-Commerce,Mozenda,5 to 10,99000.0,Canada,11.0
Application Development,Entry Level,Construction and Engineering,Marvel,50+,21400.0,United Arab Emirates,32.0
Website Development,Entry Level,Insurance,Vue.js,50+,42700.0,Austria,10.0
Website Development,Intermediate,Real Estate,Ruby on Rails,10 to 15,95600.0,China,14.0
Web Scraping,Entry Level,Retail (Non-E-commerce),WebHarvy,5 to 10,29900.0,China,14.0
Web Scraping,Intermediate,Manufacturing and Industrial,DataMiner,50+,69500.0,China,12.0
Web Scraping,Expert,Finance and Banking,Octoparse,5 to 10,21800.0,India,16.0
Application Development,Intermediate,Small Business/Local Business,Axure,Less than 5,81600.0,France,19.0
Web Scraping,Entry Level,Manufacturing and Industrial,Scrapy,10 to 15,18900.0,Japan,19.0
Web Scraping,Expert,Manufacturing and Industrial,Import.io,10 to 15,32000.0,United States,29.0
Application Development,Intermediate,Government,Axure,5 to 10,11100.0,Norway,25.0
Website Development,Intermediate,Technology and SaaS,Laravel,20 to 50,72600.0,Argentina,6.0
Web Scraping,Entry Level,Small Business/Local Business,DataMiner,5 to 10,60100.0,Norway,20.0
Web Scraping,Intermediate,Energy and Utilities,Import.io,50+,21500.0,India,16.0
Website Development,Intermediate,Hospitality and Travel,TypeScript,20 to 50,81300.0,Brazil,12.0
Web Scraping,Expert,Manufacturing and Industrial,Selenium,20 to 50,43200.0,Russia,21.0
Web Scraping,Intermediate,Insurance,Scrapy,10 to 15,19900.0,Brazil,10.0
Website Development,Entry Level,Government,Ruby on Rails,Less than 5,29900.0,Belgium,11.0
Website Development,Intermediate,Energy and Utilities,Laravel,5 to 10,27300.0,Belgium,11.0
Application Development,Intermediate,Manufacturing and Industrial,Marvel,5 to 10,41800.0,Switzerland,29.0
Application Development,Expert,Manufacturing and Industrial,UXPin,10 to 15,29500.0,Japan,24.0
Application Development,Expert,Automotive,Figma,5 to 10,11800.0,South Korea,27.0
Web Scraping,Intermediate,Non-Profit and NGOs,ParseHub,5 to 10,57100.0,Japan,19.0
Website Development,Intermediate,Hospitality and Travel,Angular,20 to 50,17100.0,Canada,13.0
Application Development,Intermediate,Energy and Utilities,Axure,50+,85600.0,China,19.0
Application Development,Intermediate,Insurance,Proto.io,10 to 15,87600.0,Israel,23.0
Website Development,Entry Level,Finance and Banking,Laravel,5 to 10,18100.0,Australia,8.0
Application Development,Intermediate,Construction and Engineering,Figma,50+,35600.0,Mexico,25.0
Website Development,Intermediate,Technology and SaaS,Flutter,50+,9100.0,Brazil,12.0
Web Scraping,Entry Level,Retail (Non-E-commerce),Beautiful Soup,Less than 5,51200.0,Thailand,26.0
Web Scraping,Expert,Government,Selenium,10 to 15,22600.0,Spain,23.0
Application Development,Expert,Insurance,Marvel,15 to 20,53000.0,Russia,26.0
Website Development,Intermediate,Real Estate,Express.js,5 to 10,48500.0,India,18.0
Application Development,Entry Level,Hospitality and Travel,InVision,50+,46400.0,Japan,24.0
Application Development,Expert,Insurance,Axure,50+,98600.0,United Kingdom,34.0
Application Development,Entry Level,Professional Services,Adobe XD,50+,97700.0,Indonesia,22.0
Web Scraping,Expert,Government,Octoparse,10 to 15,11700.0,United States,30.0
Application Development,Intermediate,Technology and SaaS,Figma,50+,79500.0,Australia,10.0
Website Development,Intermediate,Finance and Banking,Flutter,15 to 20,32300.0,Austria,10.0
Application Development,Expert,Small Business/Local Business,Proto.io,20 to 50,69000.0,United States,38.0
Application Development,Expert,Non-Profit and NGOs,InVision,20 to 50,15700.0,Germany,20.0
Website Development,Intermediate,Finance and Banking,Laravel,20 to 50,53800.0,Brazil,12.0
Web Scraping,Intermediate,Manufacturing and Industrial,Octoparse,5 to 10,23200.0,Indonesia,17.0
Application Development,Expert,Hospitality and Travel,Marvel,20 to 50,82600.0,Russia,26.0
Website Development,Intermediate,Non-Profit and NGOs,Django,50+,14400.0,Argentina,5.0
Website Development,Intermediate,Healthcare,Flutter,20 to 50,46700.0,Germany,17.0
Web Scraping,Entry Level,Construction and Engineering,Scrapy,50+,12300.0,Thailand,25.0
Web Scraping,Entry Level,Energy and Utilities,Scrapy,20 to 50,67500.0,South Korea,22.0
Application Development,Entry Level,Healthcare,Affinity Designer,50+,91900.0,United States,36.0
Website Development,Intermediate,Personal Blogs/Portfolios,Next.js,Less than 5,33400.0,Brazil,12.0
Application Development,Entry Level,Government,Marvel,10 to 15,76800.0,Netherlands,25.0
Web Scraping,Intermediate,Professional Services,DataMiner,5 to 10,64400.0,India,16.0
Web Scraping,Intermediate,Finance and Banking,ParseHub,50+,39000.0,Italy,18.0
Web Scraping,Expert,Education,WebHarvy,15 to 20,31900.0,Germany,16.0
Application Development,Intermediate,Hospitality and Travel,Balsamiq,10 to 15,76300.0,Spain,28.0
Web Scraping,Entry Level,Hospitality and Travel,DataMiner,15 to 20,18900.0,United Arab Emirates,27.0
Web Scraping,Intermediate,Technology and SaaS,OutWit Hub,50+,12400.0,Netherlands,20.0
Web Scraping,Intermediate,Healthcare,Beautiful Soup,5 to 10,84900.0,Thailand,25.0
Web Scraping,Expert,E-Commerce,WebHarvy,10 to 15,30400.0,Spain,23.0
Web Scraping,Expert,Telecommunications,Beautiful Soup,5 to 10,22400.0,Germany,15.0
Application Development,Intermediate,Real Estate,Affinity Designer,Less than 5,35300.0,United Kingdom,33.0
Web Scraping,Intermediate,Healthcare,ParseHub,15 to 20,94000.0,Japan,19.0
Application Development,Intermediate,Media and Entertainment,InVision,15 to 20,69900.0,Thailand,31.0
Application Development,Expert,Finance and Banking,Proto.io,10 to 15,89300.0,Israel,23.0
Application Development,Intermediate,Construction and Engineering,Proto.io,5 to 10,33600.0,Spain,28.0
Web Scraping,Entry Level,Finance and Banking,ParseHub,20 to 50,54100.0,Brazil,10.0
Web Scraping,Intermediate,Hospitality and Travel,Beautiful Soup,50+,72800.0,Mexico,20.0
Application Development,Intermediate,Hospitality and Travel,Proto.io,20 to 50,62800.0,Saudi Arabia,26.0
Website Development,Expert,Technology and SaaS,Django,Less than 5,23400.0,Austria,10.0
Application Development,Expert,Construction and Engineering,Affinity Designer,5 to 10,99300.0,United Kingdom,33.0
Application Development,Intermediate,Government,InVision,Less than 5,9800.0,Spain,28.0
Web Scraping,Intermediate,Small Business/Local Business,Scrapy,15 to 20,90700.0,Austria,8.0
Application Development,Intermediate,Small Business/Local Business,InVision,20 to 50,94400.0,Japan,24.0
Application Development,Entry Level,Personal Blogs/Portfolios,Balsamiq,10 to 15,54400.0,Thailand,31.0
Application Development,Intermediate,Real Estate,Marvel,10 to 15,20900.0,Saudi Arabia,26.0
